feature,importance
M3_T,0.0004830835954938596
V300,0.00047998054926436833
DeviceType_mobile,0.00047616207876069244
V55,0.0004732141759423464
V244,0.0004723822713810304
M1_Unknown,0.0004700840502410998
V231,0.0004673266690235197
V172,0.00046605187287697305
id_02,0.00045530767305499266
V78,0.0004389121885522875
M9_Unknown,0.00043429311674854793
id_29_NotFound,0.0004305956843708129
V304,0.000430359163523275
V224,0.0004282216434828831
V137,0.0004232315341828454
V225,0.00042146107789499084
V66,0.0004201382617532249
V84,0.0004159518866507396
V47,0.00041419186136967546
M2_T,0.0004137808856948344
M9_T,0.0004113142355643022
V39,0.0004066330411271402
Transaction_day_of_week,0.0003961197031642513
V63,0.00039109728663771354
id_05,0.00038187131077609295
V135,0.0003807295734208996
id_20,0.00037957443158231934
V212,0.00037741253589745514
V319,0.00036801815252876464
V64,0.0003627657525681029
card4_discover,0.00035526268071057576
V277,0.0003512698955437117
id_28_New,0.0003501841190699368
V227,0.0003494651466452235
V177,0.00034544410888127637
id_37_T,0.00034151376788170255
V185,0.0003325048647918176
V24,0.00032501782746919075
R_email_suffix_missing,0.00031204622765113944
V234,0.00030889124588428797
V42,0.0003043920965957153
id_19,0.000299179546538084
M7_Unknown,0.00029359868044774573
V273,0.00029108683418066635
V22,0.00028511961298599407
V26,0.0002826569608144466
V175,0.00027907961010538104
M8_Unknown,0.00027699335934903697
V182,0.0002707992022650971
V311,0.00026756700739471924
V80,0.00026743404487804625
V25,0.00026386851984928737
V261,0.0002635817929513649
V23,0.00025882953202720135
V262,0.0002569424910201151
V43,0.0002556029408361931
id_13,0.00024724407139552115
V211,0.00024672092327659637
ProductCD_W,0.00024354865860513092
V115,0.00024317217195721805
V235,0.00024244009158857544
V77,0.00024161385820349883
id_28_Unknown,0.0002411904211538337
id_37_Unknown,0.00023306050567737706
V215,0.00023012104141728528
id_35_Unknown,0.000230065675420071
V195,0.00022662762664385616
V236,0.00020902061349665783
id_15_Unknown,0.0002071363028327356
V197,0.00018599444898067115
V183,0.00018514582973286166
V198,0.0001781799291516448
ProductCD_H,0.0001773552510193911
V239,0.00017648371486728314
V207,0.00017478333536695951
V194,0.00017311645279955316
id_36_Unknown,0.00017311186819223684
V7,0.00016881344145382456
M6_T,0.00016492957339780785
M6_Unknown,0.00016447606825859627
V17,0.000163803109086819
V81,0.000162157201613431
V186,0.00016176947576395685
ProductCD_S,0.0001613411006137139
V238,0.00015990358649045302
V184,0.00015801939075168778
V209,0.0001564052999825808
is_night,0.00015639678591965433
V193,0.00015390946643241838
M4_M1,0.00015308355642006281
V276,0.00015291340111478222
M7_T,0.0001452598790628981
id_12_Unknown,0.000142819945172317
V210,0.00014268922947758848
V214,0.0001405671718075383
id_35_T,0.00014011237658019765
V116,0.00013985075588257104
V226,0.00013962326413497012
V3,0.00013879806136827841
V18,0.0001370855141692217
id_16_Unknown,0.0001358688398395019
V208,0.0001326717323643896
id_29_Unknown,0.0001305322062247103
V248,0.00012986852965947855
V267,0.00012852797048648815
V260,0.00012591546667011611
V278,0.00012492004325446418
M8_T,0.00012486304105918322
V216,0.0001187773854382847
V181,0.00011855212310350543
V266,0.0001178767671458684
V206,0.0001143181812505976
V114,0.00011064413811345689
id_38_T,0.0001104524626005065
is_weekend,0.00010901756870723762
V46,0.00010457842415841537
id_38_Unknown,0.0001026896275103796
V249,9.937550304778369e-05
V9,9.841663431370786e-05
V268,9.509887996826789e-05
V271,8.497644610210133e-05
V272,8.39599631599006e-05
V109,8.325953390698064e-05
V169,8.239943718568412e-05
V270,7.8794738141063e-05
V2,7.798902418649286e-05
DeviceType_desktop,7.680749518472165e-05
V6,7.594934036950186e-05
V220,7.40825398040893e-05
V205,7.17057061588763e-05
V192,6.238278767075115e-05
addr2,5.843512598353714e-05
ProductCD_R,5.7036245603811086e-05
V254,5.6286190929362824e-05
V196,5.478738110772772e-05
V252,5.110594104248744e-05
V191,4.8293307225703855e-05
V8,4.597695418574858e-05
V110,4.3822034405430146e-05
V247,4.218773409404347e-05
V112,4.200818025769893e-05
P_email_suffix_net,4.149303022021081e-05
V108,3.9463929690017636e-05
id_11,3.453111486889115e-05
V111,3.3056297627720805e-05
V113,2.5743493015432306e-05
V121,2.45547366389259e-05
V269,2.433135271241503e-05
card4_american express,1.956823353258399e-05
V88,9.20249436513931e-06
P_email_suffix_other,8.248686798899959e-06
id_36_T,7.174792627324893e-06
V122,6.767316996137888e-06
V120,5.8150385375729955e-06
V119,5.811101612677628e-06
V117,5.7502978572560165e-06
C3,4.66533434732665e-06
R_email_suffix_net,4.086464622712322e-06
V118,3.996439080897373e-06
R_email_suffix_other,3.0503651402627918e-06
V28,7.179063530218088e-07
V240,6.031642617782878e-07
V14,1.3751628338842188e-07
V107,1.694199009285132e-08
V27,0.0
V68,0.0
card6_debit or credit,0.0
V1,0.0
V305,0.0
card6_charge card,0.0
V41,0.0
V89,0.0
V65,0.0
V241,0.0
